ČeskoMoravská Kynologická Unie

# Č esko m oravská k ynologická u nie

## Novinky a upozornění

| 14.8. | Výběrové řízení – nový infor... |
| --- | --- |
| 10.8. | Interdog Bohemia-POZOR ZMĚNA |
| 9.8. | Centrální evidence psů- chov... |
| 3.8. | Byl přidán zápis řádného zas... |
| 9.7. | Vzteklina v Evropě zabíjí. |
| 29.6. | Smutná zpráva |

# Seznam plemen

Na této stránce naleznete seznam všech plemen - standardů. Časem bude u každého plemene doplněn popis a fotografie. Kliknutím na detail plemene se dozvíte které kluby plemeno spravují a které pracoviště plemenné knihy provádí zápisy.

| Číslo FCI | Název | Originální název |
| 114 | Dlouhosrstý ohař z Pont-Audemer | Epagneul de Pont-Audemer |
| 924 | Dlouhosrstý vipet | Silken Windsprite - LHW |
| 143 | Dobrman | Dobermann |
| 224 | Drentsche Patrisijshond | Drentsche Patrisijshond |
| 130 | Drever | Drever |
| 203 | Dunker | Dunker |
| 047 | Entlebuchský salašnický pes | Entlebucher Sennenhund |
| 173 | Estrelský pastevecký pes | Cao da Serra da Estrela |
| 291 | Eurasier | Eurasier |
| 248 | Faraónský pes | Pharaoh Hound |
| 123 | Field španěl | Field Spaniel |
| 051 | Finský honič | Suomenajaokoira |
| 049 | Finský špic | Suomenpystkorva |
| 191 | Flanderský bouvier | Bouvier des Flandres |
| 121 | Flat Coated Retriever | Flat Coated Retriever |
| 159 | Foxhound | English Foxhound |
| 169 | Foxterier drsnosrstý | Fox Terrier Wire |
| 012 | Foxterier hladkosrstý | Fox Terrier Smooth |
| 220 | Francouzský bílo-černý honič | Francais Blanc et Noir |
| 316 | Francouzský bílo-oranžový honič | Francais Blanc et Orange |
| 101 | Francouzský buldoček | Bouledogue Francais |
| 175 | Francouzský ohař dlouhosrstý | Epagneul Francais |
| 133 | Francouzský ohař krátkosrstý gaskoň.typu | Braque Francais Type Gascogne |
| 134 | Francouzský ohař krátkosrstý pyren.typu | Braque Francais Type Pyrénées |
| 219 | Francouzský trikolorní honič | Francais Tricolore |
| 222 | Frízský ohař (Stabijhoun) | Friesischer Vorstehhund (Stabijhoun) |
| 021 | Gaskoňsko-saintgeoiský honič | Gascon Saintgeois |
| 006 | Gordonsetr | Gordon Setter |
| 274 | Grónský pes | Grönlandshund |
| 267 | Haldenův honič | Haldenstöver |
| 132 | Hamiltonův honič | Hamiltonstövare |
| 213 | Hannoverský barvář | Hannoverscher Schweisshund |
| 295 | Harrier | Harrier |
| 250 | Havanský psík | Bichon Havanais |
| 261 | Hokkaido | Hokkaido |
| 313 | Holandský ovčácký pudl | Schapendoes |
| 223 | Holandský ovčák | Hollandse Herdershond |
| 308 | Holandský pinč | Hollandse Smoushond |
| 190 | Hovawart | Hovawart |
| 032 | Hrubosrstý modrý gaskoňský honič | Griffon Bleu de Gascogne |
| 266 | Hygenův honič | Hygenhund |
| 089 | Ibizský podenco | Podenco Ibicenco |
| 302 | Irish Glen of Imaal terier | Irish Glen of Imaal Terrier |
| 040 | Irish Soft Coated Wheaten Terrier | Irish Soft Coated Wheaten Terrier |
| 330 | Irský červenobílý setr | Irish Red & White Setter |
| 120 | Irský setr | Irish Red Setter |
| 139 | Irský terier | Irish Terrier |
| 160 | Irský vlkodav | Irish Wolfhound |
| 124 | Irský vodní španěl | Irish Water Spaniel |
| 289 | Islandský ovčácký pes | Íslenskur Fjárhundur |
| 152 | Istrijský hrubosrstý honič | Istarski Ostrodlaki Gonič |
| 151 | Istrijský krátkosrstý honič | Istarski Kratkodlaki Gonič |
| 200 | Italský chrtík | Piccolo Levriero Italiano |
| 343 | Italský corso pes | Cane Corso Italiano |
| 198 | Italský drsnosrstý honič | Segugio Italiano a Pelo Forte |
| 337 | Italský krátkosrstý honič | Segugio Italiano a Pelo Raso |
| 202 | Italský ohař | Bracco Italiano |
| 165 | Italský spinone | Spinone Italiano |
| 195 | Italský volpino | Volpino Italiano |
| 345 | Jack Russell Teriér | Jack Russell Terrier |
| 042 | Jaemthund | Jämthund |
| 365 | Jakutská lajka | Yakutskaia laika |
| 206 | Japan-chin | Chin |
| 262 | Japonský špic | Nihon Supittsu |
| 259 | Japonský terier | Nihon Teria |
| 148 | Jezevčík | Dachshund |
| 326 | Jihoruský ovčák | Ioujnorousskaia Ovtcharka |
| 317 | Kai | Kai |
| 273 | Kanaánský pes | Canaan dog |
| 211 | Kanadský eskymácký pes | Canadian Eskimo Dog |
| 329 | Kanárský podenco | Podenco Canario |
| 331 | Kangalský pastevecký pes | Kangal Coban Köpegi |
| 048 | Karelský medvědí pes | Karjalankarhukoira |
| 087 | Katalánský ovčák | Gos d Atura Catala |
| 136 | Kavalír King Charles španěl | Cavalier King Charles Spaniel |
| 328 | Kavkazský pastevecký pes | Kavkazskaia Ovtcharka |
| 003 | Kerry blue terier | Kerry Blue Terrier |
| 128 | King Charles španěl | King Charles Spaniel |
| 362 | Kintamani-Bali Dog | Anjing Kintamani-Bali |
| 318 | Kishu | Kishu |
| 183 | Knírač malý | Zwergschnauzer |
| 182 | Knírač střední | Schnauzer |
| 181 | Knírač velký | Riesenschnauzer |
| 156 | Kolie dlouhosrstá | Collie Rough |
| 296 | Kolie krátkosrstá | Collie Smooth |
| 053 | Komondor | Komondor |
| 369 | Kontinentální buldok | Continental Bulldog |
| 314 | Kooikerhondje | Kooikerhondje |
| 334 | Korejský Jindo Dog | Korea Jindo Dog |
| 107 | Korthalsův Griffon | Griffon d´ arret á poil dur Korthals |
| 278 | Krašský ovčák | Kraski ovčar |
| 192 | Kromforländer | Kromforländer |
| 054 | Kuvasz | Kuvasz |
| 122 | Labradorský retriever | Labrador Retriever |
| 298 | Lagotto romagnolo | Lagotto romagnolo |
| 070 | Lakeland terier | Lakeland Terrier |
| 360 | Lancashirský patař | Lancashire heeler |
| 226 | Landseer | Landseer |
| 189 | Lapinkoira | Suomenlapinkoira |
| 284 | Lapinporokoira | Lapinporokoira (Lapponian Herder) |
| 145 | Leonberger | Leonberger |
| 227 | Lhasa Apso | Lhasa Apso |
| 919 | Louisianský leopardí pes | Louisiana Catahoula |
| 233 | Lvíček | Petit Chien Lion |
| 240 | Maďarský chrt | Magyar Agar |
| 239 | Maďarský ohař drátosrstý | Drotzörü Magyar Vizsla |
| 057 | Maďarský ohař krátkosrstý | Rövidszörü Magyar Viszla |
| 941 | Mali Medimurski pas - Medi | Mali Medimurski pas - Medi |
| 321 | Malorský ovčák | P.de Past.Mallorquín (P.d.C.de Bestiar) |
| 065 | Maltézský psík | Maltese |
| 067 | Malý hrubosrstý vendéeský basset | Petit Basset Griffon Vendéen |
| 077 | Malý kontinentální španěl | Epagneul Nain Continental |
| 031 | Malý modrý gaskoňský honič | Petit Bleu de Gascogne |
| 102 | Malý münsterlandský ohař | Kleiner Münsterländer Vorstehhund |
| 071 | Manchester terier | Manchester Terrier |
| 201 | Maremmansko-abruzský pastevecký pes | Cane da Pastore Maremmano-Abruzzese |
| 938 | Markiesje | Markiesje |
| 234 | Mexický naháč | Xoloitzcuintle |
| 367 | Miniaturní americký ovčák | Miniature American Shepherd |
| 359 | Miniaturní bulteriér | Miniature Bull Terrier |
| 035 | Modrý gaskoňský basset | Basset Bleu de Gascogne |
| 106 | Modrý pikardský ohař dlouhosrstý | Epagneul Bleu de Picardie |
| 253 | Mops | Pug |
| 918 | Moskevský strážní pes | Moskovskaja Storoževaja Sobaka |
| 238 | Mudi | Mudi |
| 197 | Neapolský mastin | Mastino Napoletano |
| 235 | Německá doga | Deutsche Dogge |
| 144 | Německý boxer | Deutscher Boxer |
| 299 | Německý brakýř | Deutsche Bracke |
| 104 | Německý křepelák | Deutscher Wachtelhund |
| 103 | Německý lovecký terier | Deutscher Jagdterrier |
| 117 | Německý ohař dlouhosrstý | Deutscher Langhaariger Vorstehhund |
| 098 | Německý ohař drátosrstý | Deutscher Drahthaariger Vorstehhund |
| 119 | Německý ohař krátkosrstý | Deutscher Kurzhaariger Vorstehhund |
| 232 | Německý ohař ostnosrstý | Deutscher Stichelhaariger Vorstehhund |
| 166 | Německý ovčák | Deutscher Schäferhund |
| 184 | Německý pinč | Pinscher |
| 097 | Německý špic | Deutscher Spitz |
| 097 | Německý špic malý | Deutscher Spitz - Kleinspitz |
| 097 | Německý špic střední | Deutscher Spitz - Mittelspitz |
| 097 | Německý špic trpasličí | Deutscher Spitz - Zwergspitz |
| 097 | Německý špic velký | Deutscher Spitz - Grosspitz |
| 097 | Německý špic vlčí | Deutscher Spitz - Wolfspitz |
| 017 | Nivernaisský hrubosrstý honič | Griffon Nivernais |
| 276 | Norbotenský špic | Norrbottenspets |
| 272 | Norfolk terier | Norfolk Terrier |
| 237 | Norský buhund | Norsk Buhund |
| 268 | Norský losí pes černý | Norsk Elghund Sort |
| 242 | Norský losí pes šedý | Elghund Grä |
| 265 | Norský lundehund | Norsk Lundehund |
| 072 | Norwich terier | Norwich Terrier |
| 312 | Nova Scotia Duck Tolling Retriever | Nova Scotia Duck Tolling Retriever |
| 050 | Novofundlandský pes | Newfoundland |
| 929 | Odis | Odis |
| 186 | Opičí pinč | Affenpinscher |
| 294 | Otterhound (Vydrař) | Otterhound |
| 077 | Papillon | Papillon - Epagneul Nain Continental |
